state,level_1,level_2,level_3,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Distrito Federal,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"59,3874442","67,48963781","69,21351412","71,10978255","81,79780325","81,53922189","84,98697964","92,658184","95,24400078","100,1570429","106,449217","109,1212509","112,2242044","117,9129485","126,704701","139,2027666","145,0639633","152,0456575","156,1829603","165,2333076","169,6291424","171,7839775","174,1974044","176,1798397","181,1791245","187,2126598","191,3499313","196,6077023","202,5551507","206,7786957","207,2958629","208,6749526","218,2424346","222,3797034","223,0692526","223,5002139","223,7587966"
Distrito Federal,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"81,37204753","110,3358071","113,180598","115,0770494","121,800686","125,4203457","130,4192571","142,2305079","151,6269524","159,8160344","176,4534374","186,280624","200,5059275","208,8693278","218,0069859","236,6265835","242,6608284","246,969974","257,0556171","270,4174895","291,2782443","305,243078","311,4491876","318,3453543","326,1038624","345,6696889","356,7008157","374,1093695","385,1417648","391,43424","396,5186951","403,4129603","406,0838097","408,6686769","411,4273194","419,0129305","418,4094502"
Goiás,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"32,76715883","38,57514222","40,30884953","40,30884953","40,04879794","41,00233331","41,60913173","41,52244664","42,04255754","42,56267372","42,99610237","43,77627105","46,03011981","52,18483187","51,83809286","52,09814942","53,4851097","53,39842117","53,39842117","53,48510849","53,4851088","53,57179357","53,65847997","53,65847997","53,65847997","55,04545314","55,56556566","55,47887916","56,08568742","55,73894384","55,99900568","55,91231878","56,0856925","56,17238163","55,8256339","56,08569483","56,08569483"
Goiás,2. Industrial,2.2 Metálicas,2.2.03 Níquel,"261,4869267","343,6589638","404,5081049","436,2328197","488,4103604","531,749018","588,3711928","613,0304937","651,7799537","706,5642262","730,3151871","747,8192883","790,7230848","832,5013514","887,7164651","968,3247092","1030,127106","1076,931829","1189,092344","1380,186366","1670,8642","2091,68041","2485,721341","3220,491","3720,097063","3976,129174","4526,8063","4803,752529","4985,701887","5125,810337","5257,936063","5430,729129","5607,707897","5710,054863","5785,496053","5849,52841","5850,824705"
Goiás,2. Industrial,2.2 Metálicas,2.2.04 Amianto,"413,9324474","450,1148095","478,0354712","494,2135254","510,5657341","546,5754203","586,0640323","625,640436","674,3489249","731,2339568","737,1485835","743,0632121","747,9341331","780,0317799","794,4712965","804,9093808","807,0840271","807,6929339","810,3894998","813,4339959","816,3044096","821,4366426","827,1778518","828,3086359","834,483897","841,5289591","844,1382298","852,8361131","859,0985032","871,8843879","891,6295331","912,8528789","915,114416","916,0712096","917,6369297","917,810912","917,2020312"
Goiás,2. Industrial,2.2 Metálicas,2.2.06 Titânio,,,,,"4,46033963","4,46033963","4,46033963","4,54611532","4,54611532","23,93130646","27,10501009","27,70543887","27,79121293","28,47741342","28,39163925","28,82051818","28,22009092","28,30586895","28,90631414","30,10718275","30,10718275","30,27873437","30,36450994","30,53606051","30,4502847","30,62183667","31,30803389","31,4795821","31,39380723","31,47958246","31,3938063","31,4795814","31,47958211","31,47958211","31,47958211","31,47958211","31,73690836"
Goiás,2. Industrial,2.2 Metálicas,2.2.08 Cobre,"35,64610264","35,47265052","37,46747245","38,16131425","38,24799647","38,24799516","39,54892966","44,49248347","48,65549221","49,26258273","76,49383486","97,13486677","105,8070583","111,5310941","114,9134585","121,9380835","124,8002941","129,3100792","140,9311144","188,8044208","444,2979295","588,5225078","648,5375817","816,7029317","995,4474586","1135,512336","1300,465204","1494,383925","1605,828223","1807,02686","2025,736004","2213,146174","2372,279584","2494,12315","2638,944809","2663,746351","2663,919638"
Goiás,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"462,8333607","513,5247972","570,6827711","629,6982616","658,6311528","672,9887876","689,4667439","707,4402058","740,7152569","767,942343","783,7763929","814,542172","880,8342208","997,4377877","1186,047555","1262,6763","1297,511817","1323,259645","1345,77958","1379,778935","1405,551295","1420,001832","1430,674043","1453,296589","1459,068369","1481,173266","1509,601942","1555,172731","1585,569945","1617,884063","1640,364257","1658,505982","1668,641815","1684,130649","1702,2245","1712,83854","1710,075916"
Goiás,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"91,57474384","93,37201729","96,36747806","98,84942405","108,5240506","113,3259082","115,214649","122,4119054","130,2981778","135,1810007","147,8116298","157,2733","163,619443","171,0138822","179,8295079","200,6392703","221,0859992","236,6677799","248,1856591","252,911188","262,9682521","269,3279222","276,0888699","282,513478","286,2121938","294,4629582","298,0577287","308,0966668","318,794694","322,2178754","323,3291434","325,2980345","329,333586","334,9854922","376,0814072","377,7920731","377,1043491"
Goiás,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"14,60753823","15,72808968","16,24436357","16,93429414","18,56993964","28,6454069","29,93669495","32,86068515","35,17848098","43,70344175","67,72097617","68,32501012","67,72325233","68,49444349","70,21019154","87,08410482","91,39285533","98,88591068","107,3274167","109,0486946","112,7537094","120,9335785","123,2621177","138,6750196","150,3938433","165,044206","173,5746862","231,8476134","245,1243711","250,3793246","254,9499091","256,7582269","259,6869119","266,149768","288,0431995","288,5590568","287,6106426"
Maranhão,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"28,77885327","28,77885327","28,957604","59,52399291","88,39227103","94,11231602","175,3548931","175,3548931","175,5336449","175,5336449","175,5336449","175,4442688","175,4442688","175,4442688","99,65374939","107,6975313","114,0431482","121,7293825","124,4106387","128,075043","125,30439","125,3043835","136,2975854","149,8826885","207,1721777","252,8429054","263,836103","307,9875192","356,5182586","457,6913559","418,187587","455,3677948","529,7281162","559,6690052","755,7590979","669,6908763","670,4952741"
Maranhão,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"480,0888063","502,3245267","528,0427936","548,4977395","567,1762766","599,3235161","569,9437596","587,9822914","597,805105","589,7682398","598,0730952","605,6632033","579,8558387","602,8950273","580,7463565","661,9201667","670,4040956","673,2616892","674,154486","705,3195428","685,3161521","705,2301775","692,1029472","700,9436876","784,1681813","756,9295441","782,1098535","843,7236288","851,8484737","880,6912562","857,9208533","878,2814889","928,0208552","910,0719091","957,3366493","917,9560407","904,1130641"
Maranhão,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"92,95592582","130,3879614","168,8901099","203,3807166","212,8279132","218,9773273","224,1465278","230,8308165","262,9149725","285,0177261","298,7426167","323,1621825","362,8222128","424,0509693","451,3197955","482,509954","507,285264","524,3053194","538,0284334","551,9301314","565,2090499","566,0093708","597,9181023","616,0107729","643,19374","657,9851982","666,9815264","670,186885","677,0384933","678,3750397","686,0325303","688,7886932","693,2378932","702,1324525","713,2535079","719,6593099","717,7888444"
